"workerid","condition","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","happy","sad","anger","surprise","disgust","fear","content","disapp","prospective","retrospective","firstPerson","thirdPerson"
347,4,48,55,70,85,0.25,0.52,0.23,85,0.23,0.768,9,1,1,5,1,1,9,1,1,0,0,1
221,4,49,50,75,90,0.3,0.52,0.18,50,0.3,0.622,4,3,3,1,1,1,5,5,1,0,0,1
257,4,16,25,60,100,0.45,0.37,0.18,25,0.45,0.329,5,1,1,5,1,1,5,1,1,0,0,1
268,2,3,0,30,60,0.41,0.37,0.22,60,0.22,0.424,9,1,1,8,1,1,9,1,1,0,1,0
247,4,16,25,60,100,0.45,0.37,0.18,25,0.45,0.245,4,3,3,4,2,1,3,4,1,0,0,1
325,4,11,20,45,70,0.41,0.35,0.24,45,0.35,0.7,8,2,1,5,3,1,5,7,1,0,0,1
215,2,26,15,50,75,0.24,0.4,0.36,50,0.4,0.355,5,1,1,3,1,1,8,7,1,0,1,0
338,4,21,25,45,80,0.3,0.3,0.4,80,0.4,0.693,9,1,1,9,1,1,1,1,1,0,0,1
271,4,16,25,60,100,0.45,0.37,0.18,25,0.45,0.85,7,2,1,2,2,1,2,3,1,0,0,1
265,4,23,20,60,90,0.34,0.22,0.44,60,0.22,0.089,6,3,3,5,2,2,6,4,1,0,0,1
335,4,35,30,50,90,0.41,0.24,0.35,50,0.24,0.318,6,5,6,5,6,5,6,5,1,0,0,1
303,4,20,25,45,80,0.26,0.32,0.42,45,0.32,0.858,6,2,1,5,2,1,6,4,1,0,0,1
248,4,5,10,35,75,0.515,0.3,0.185,35,0.3,0.546,5,6,4,6,2,1,1,6,1,0,0,1
281,4,34,30,50,90,0.43,0.23,0.34,30,0.43,0.002,3,7,3,3,7,3,3,7,1,0,0,1
228,4,11,20,45,70,0.41,0.35,0.24,45,0.35,0.498,6,3,2,6,1,1,6,3,1,0,0,1
42,2,33,45,60,90,0.5,0.3,0.2,90,0.2,0.209,4,1,1,1,1,1,1,1,1,0,1,0
336,4,1,0,30,60,0.38,0.36,0.26,0,0.38,0.683,1,8,4,5,4,1,1,9,1,0,0,1
290,4,13,30,50,95,0.31,0.25,0.44,30,0.31,0.79,2,6,1,2,2,4,4,7,1,0,0,1
353,2,18,25,60,100,0.43,0.35,0.22,100,0.22,0.307,9,1,1,9,1,1,1,1,1,0,1,0
384,2,15,30,50,95,0.3,0.3,0.4,95,0.4,0.407,9,1,1,9,1,1,8,1,1,0,1,0
208,4,25,15,50,75,0.21,0.36,0.43,15,0.21,0.994,2,8,8,8,8,2,1,8,1,0,0,1
236,4,9,15,70,80,0.45,0.29,0.26,80,0.26,0.212,9,1,1,6,1,1,9,1,1,0,0,1
8,2,28,40,65,100,0.36,0.4,0.24,40,0.36,0.292,1,6,4,4,1,1,1,9,1,0,1,0
375,2,45,10,50,75,0.6,0.24,0.16,75,0.16,0.435,9,1,1,8,1,1,9,1,1,0,1,0
286,2,16,25,60,100,0.45,0.37,0.18,25,0.45,0.566,3,4,1,1,1,1,4,7,1,0,1,0
222,4,13,30,50,95,0.31,0.25,0.44,30,0.31,0.186,4,7,2,6,3,1,2,7,1,0,0,1
313,4,19,25,45,80,0.31,0.32,0.37,25,0.31,0.982,2,7,1,1,1,1,6,7,1,0,0,1
258,2,25,15,50,75,0.21,0.36,0.43,15,0.21,0.2,2,2,1,1,1,1,2,1,1,0,1,0
342,2,14,30,50,95,0.33,0.29,0.38,50,0.29,0.261,7,1,1,1,1,1,5,1,1,0,1,0
318,4,5,10,35,75,0.515,0.3,0.185,35,0.3,0.044,7,2,1,6,1,1,8,2,1,0,0,1
334,2,46,55,70,85,0.26,0.53,0.21,55,0.26,0.443,6,2,1,1,4,1,4,6,1,0,1,0
293,4,13,30,50,95,0.31,0.25,0.44,30,0.31,0.264,3,4,4,2,1,1,3,7,1,0,0,1
203,4,22,20,60,90,0.32,0.16,0.52,20,0.32,0.778,7,1,1,7,1,1,5,3,1,0,0,1
239,4,10,20,45,70,0.43,0.39,0.18,20,0.43,0.948,4,2,1,1,1,1,2,6,1,0,0,1
333,4,36,30,50,90,0.39,0.25,0.36,90,0.36,0.982,5,2,1,6,1,1,3,6,1,0,0,1
233,2,46,55,70,85,0.26,0.53,0.21,55,0.26,0.968,9,1,1,1,1,1,9,1,1,0,1,0
379,4,50,50,75,90,0.32,0.5,0.18,75,0.5,0.121,6,1,1,5,1,1,5,2,1,0,0,1
288,2,18,25,60,100,0.43,0.35,0.22,100,0.22,0.985,9,1,4,1,1,1,1,1,1,0,1,0
349,4,44,10,50,75,0.58,0.24,0.18,50,0.24,0.239,1,7,6,6,6,1,2,8,1,0,0,1
317,2,46,55,70,85,0.26,0.53,0.21,55,0.26,0.603,8,2,2,8,2,2,8,2,1,0,1,0
214,2,29,40,65,100,0.38,0.34,0.28,65,0.34,0.404,5,2,1,3,1,1,3,2,1,0,1,0
382,4,40,0,40,95,0.27,0.38,0.35,0,0.27,0.413,1,9,9,9,9,1,1,9,1,0,0,1
310,2,13,30,50,95,0.31,0.25,0.44,30,0.31,0.5,3,5,3,2,3,1,2,5,1,0,1,0
240,4,16,25,60,100,0.45,0.37,0.18,25,0.45,0.797,3,4,1,7,1,1,1,6,1,0,0,1
231,4,21,25,45,80,0.3,0.3,0.4,80,0.4,0.96,9,1,9,9,1,1,9,1,1,0,0,1
366,2,17,25,60,100,0.42,0.38,0.2,60,0.38,0.776,9,1,1,5,1,1,9,1,1,0,1,0
300,2,45,10,50,75,0.6,0.24,0.16,75,0.16,0.439,7,1,1,4,1,1,6,1,1,0,1,0
2,2,38,20,50,90,0.3,0.18,0.52,50,0.18,0.763,4,2,3,3,4,1,5,6,1,0,1,0
176,2,23,20,60,90,0.34,0.22,0.44,60,0.22,0.579,8,1,1,7,1,1,1,1,1,0,1,0
377,2,39,20,50,90,0.32,0.18,0.5,90,0.5,0.328,9,1,1,9,1,1,9,1,1,0,1,0
365,4,36,30,50,90,0.39,0.25,0.36,90,0.36,0.002,9,1,1,8,1,1,9,1,1,0,0,1
251,4,32,45,60,90,0.52,0.29,0.19,60,0.29,0.159,5,7,4,3,4,2,5,5,1,0,0,1
276,2,10,20,45,70,0.43,0.39,0.18,20,0.43,0.798,4,2,1,2,1,1,2,5,1,0,1,0
282,4,33,45,60,90,0.5,0.3,0.2,90,0.2,0.758,9,1,1,8,1,1,1,1,1,0,0,1
355,4,28,40,65,100,0.36,0.4,0.24,40,0.36,0.448,5,1,1,4,1,1,5,3,1,0,0,1
308,4,18,25,60,100,0.43,0.35,0.22,100,0.22,0.276,6,3,1,4,1,1,6,3,1,0,0,1
255,4,44,10,50,75,0.58,0.24,0.18,50,0.24,0.013,7,3,3,6,2,2,8,2,1,0,0,1
364,2,48,55,70,85,0.25,0.52,0.23,85,0.23,0.832,9,1,1,9,1,1,9,1,1,0,1,0
262,4,46,55,70,85,0.26,0.53,0.21,55,0.26,0.443,4,3,2,2,1,1,4,3,1,0,0,1
327,2,17,25,60,100,0.42,0.38,0.2,60,0.38,0.414,6,1,1,4,1,1,5,2,1,0,1,0
314,2,44,10,50,75,0.58,0.24,0.18,50,0.24,0.866,5,2,1,1,1,1,5,4,1,0,1,0
357,2,48,55,70,85,0.25,0.52,0.23,85,0.23,0.807,9,1,1,9,1,1,1,1,1,0,1,0
279,4,37,20,50,90,0.28,0.19,0.53,20,0.28,0.8,3,5,1,7,1,1,1,4,1,0,0,1
226,4,32,45,60,90,0.52,0.29,0.19,60,0.29,0.618,6,2,2,5,3,2,6,4,1,0,0,1
301,2,1,0,30,60,0.38,0.36,0.26,0,0.38,0.437,1,8,6,4,9,1,1,9,1,0,1,0
277,2,39,20,50,90,0.32,0.18,0.5,90,0.5,0.825,9,1,1,4,1,1,9,1,1,0,1,0
218,4,36,30,50,90,0.39,0.25,0.36,90,0.36,0.06,9,1,1,8,1,1,8,1,1,0,0,1
299,4,20,25,45,80,0.26,0.32,0.42,45,0.32,0.611,6,1,1,4,1,1,5,4,1,0,0,1
388,2,19,25,45,80,0.31,0.32,0.37,25,0.31,0.664,1,5,1,1,1,1,1,8,1,0,1,0
339,4,22,20,60,90,0.32,0.16,0.52,20,0.32,0.279,8,2,1,7,1,1,4,4,1,0,0,1
344,4,20,25,45,80,0.26,0.32,0.42,45,0.32,0.852,4,5,1,5,6,1,3,8,1,0,0,1
374,4,49,50,75,90,0.3,0.52,0.18,50,0.3,0.752,3,4,1,2,1,1,3,6,1,0,0,1
385,2,6,10,35,75,0.5,0.32,0.18,75,0.18,0.959,9,1,1,8,1,1,9,1,1,0,1,0
369,4,50,50,75,90,0.32,0.5,0.18,75,0.5,0.861,7,1,1,2,1,1,7,2,1,0,0,1
241,4,25,15,50,75,0.21,0.36,0.43,15,0.21,0.863,1,7,8,5,8,1,4,9,1,0,0,1
316,2,46,55,70,85,0.26,0.53,0.21,55,0.26,0.749,9,1,1,1,1,1,9,1,1,0,1,0
296,4,12,20,45,70,0.4,0.34,0.26,70,0.26,0.523,9,1,1,7,1,1,1,1,1,0,0,1
285,2,35,30,50,90,0.41,0.24,0.35,50,0.24,0.205,9,1,1,5,1,1,1,1,1,0,1,0
295,2,14,30,50,95,0.33,0.29,0.38,50,0.29,0.891,3,2,1,2,1,1,3,6,1,0,1,0
209,4,49,50,75,90,0.3,0.52,0.18,50,0.3,0.235,3,6,4,6,2,2,4,6,1,0,0,1
323,2,11,20,45,70,0.41,0.35,0.24,45,0.35,0.108,7,3,3,7,2,1,2,5,1,0,1,0
358,4,8,15,70,80,0.49,0.27,0.24,70,0.27,0.691,4,3,2,1,3,1,4,5,1,0,0,1
232,2,46,55,70,85,0.26,0.53,0.21,55,0.26,0.675,2,7,1,5,1,1,2,7,1,0,1,0
320,2,46,55,70,85,0.26,0.53,0.21,55,0.26,0.367,7,1,1,5,1,1,7,5,1,0,1,0
213,2,37,20,50,90,0.28,0.19,0.53,20,0.28,0.3,6,3,2,3,1,2,5,3,1,0,1,0
387,2,23,20,60,90,0.34,0.22,0.44,60,0.22,0.812,9,1,1,9,1,1,9,1,1,0,1,0
283,2,37,20,50,90,0.28,0.19,0.53,20,0.28,0.128,1,9,4,7,1,1,1,7,1,0,1,0
219,4,9,15,70,80,0.45,0.29,0.26,80,0.26,0.21,9,1,1,8,1,1,3,1,1,0,0,1
284,4,6,10,35,75,0.5,0.32,0.18,75,0.18,0.42,9,1,1,8,1,1,9,1,1,0,0,1
212,4,12,20,45,70,0.4,0.34,0.26,70,0.26,0.995,6,1,1,8,1,1,7,1,1,0,0,1
346,2,22,20,60,90,0.32,0.16,0.52,20,0.32,0.118,2,7,2,6,3,3,3,7,1,0,1,0
361,2,28,40,65,100,0.36,0.4,0.24,40,0.36,0.522,4,3,4,5,4,3,4,4,1,0,1,0
370,2,45,10,50,75,0.6,0.24,0.16,75,0.16,0.774,8,1,1,8,1,1,8,1,1,0,1,0
356,2,27,15,50,75,0.25,0.38,0.37,75,0.37,0.334,7,3,2,6,2,2,5,2,1,0,1,0
242,4,36,30,50,90,0.39,0.25,0.36,90,0.36,0.687,9,1,1,9,1,1,9,1,1,0,0,1
328,4,47,55,70,85,0.28,0.51,0.21,70,0.51,0.124,6,4,2,4,2,1,3,6,1,0,0,1
266,2,15,30,50,95,0.3,0.3,0.4,95,0.4,0.471,7,1,1,6,1,1,7,3,1,0,1,0
269,2,22,20,60,90,0.32,0.16,0.52,20,0.32,0.928,2,4,5,4,1,1,2,6,1,0,1,0
319,2,3,0,30,60,0.41,0.37,0.22,60,0.22,0.434,8,1,1,8,1,1,8,1,1,0,1,0
206,4,39,20,50,90,0.32,0.18,0.5,90,0.5,0.189,9,1,1,6,1,1,9,1,1,0,0,1
337,2,47,55,70,85,0.28,0.51,0.21,70,0.51,0.226,7,1,1,4,1,1,1,2,1,0,1,0
128,4,32,45,60,90,0.52,0.29,0.19,60,0.29,0.172,6,2,1,6,1,1,7,2,1,0,0,1
359,4,24,20,60,90,0.33,0.2,0.47,90,0.47,0.942,9,1,1,9,1,1,9,1,1,0,0,1
329,2,37,20,50,90,0.28,0.19,0.53,20,0.28,0.928,5,2,1,5,1,1,3,3,1,0,1,0
352,2,16,25,60,100,0.45,0.37,0.18,25,0.45,0.938,3,3,1,2,1,1,1,6,1,0,1,0
238,2,45,10,50,75,0.6,0.24,0.16,75,0.16,0.606,9,1,1,6,1,1,1,1,1,0,1,0
263,2,33,45,60,90,0.5,0.3,0.2,90,0.2,0.015,9,1,1,9,1,1,9,1,1,0,1,0
294,4,27,15,50,75,0.25,0.38,0.37,75,0.37,0.177,2,5,7,8,3,1,1,8,1,0,0,1
