workerid,condition,firstPerson,order.1,order.2,order.3,order.4,order.5,order.6,order.7,order.8,order.9,order.10,spinnerID.1,spinnerID.2,spinnerID.3,spinnerID.4,spinnerID.5,spinnerID.6,spinnerID.7,spinnerID.8,spinnerID.9,spinnerID.10,payoff1.1,payoff1.2,payoff1.3,payoff1.4,payoff1.5,payoff1.6,payoff1.7,payoff1.8,payoff1.9,payoff1.10,payoff2.1,payoff2.2,payoff2.3,payoff2.4,payoff2.5,payoff2.6,payoff2.7,payoff2.8,payoff2.9,payoff2.10,payoff3.1,payoff3.2,payoff3.3,payoff3.4,payoff3.5,payoff3.6,payoff3.7,payoff3.8,payoff3.9,payoff3.10,prob1.1,prob1.2,prob1.3,prob1.4,prob1.5,prob1.6,prob1.7,prob1.8,prob1.9,prob1.10,prob2.1,prob2.2,prob2.3,prob2.4,prob2.5,prob2.6,prob2.7,prob2.8,prob2.9,prob2.10,prob3.1,prob3.2,prob3.3,prob3.4,prob3.5,prob3.6,prob3.7,prob3.8,prob3.9,prob3.10,win.1,win.2,win.3,win.4,win.5,win.6,win.7,win.8,win.9,win.10,winProb.1,winProb.2,winProb.3,winProb.4,winProb.5,winProb.6,winProb.7,winProb.8,winProb.9,winProb.10,angleProp.1,angleProp.2,angleProp.3,angleProp.4,angleProp.5,angleProp.6,angleProp.7,angleProp.8,angleProp.9,angleProp.10,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6,reactionTime.7,reactionTime.8,reactionTime.9,reactionTime.10,happy.1,happy.2,happy.3,happy.4,happy.5,happy.6,happy.7,happy.8,happy.9,happy.10,sad.1,sad.2,sad.3,sad.4,sad.5,sad.6,sad.7,sad.8,sad.9,sad.10,anger.1,anger.2,anger.3,anger.4,anger.5,anger.6,anger.7,anger.8,anger.9,anger.10,surprise.1,surprise.2,surprise.3,surprise.4,surprise.5,surprise.6,surprise.7,surprise.8,surprise.9,surprise.10,disgust.1,disgust.2,disgust.3,disgust.4,disgust.5,disgust.6,disgust.7,disgust.8,disgust.9,disgust.10,fear.1,fear.2,fear.3,fear.4,fear.5,fear.6,fear.7,fear.8,fear.9,fear.10,content.1,content.2,content.3,content.4,content.5,content.6,content.7,content.8,content.9,content.10,disapp.1,disapp.2,disapp.3,disapp.4,disapp.5,disapp.6,disapp.7,disapp.8,disapp.9,disapp.10,socCompArray.1,socCompArray.2,socCompArray.3,socCompArray.4,socCompArray.5,socCompArray.6,socCompArray.7,socCompArray.8,socCompArray.9,socCompArray.10,RSEArray.1,RSEArray.2,RSEArray.3,RSEArray.4,RSEArray.5,RSEArray.6,RSEArray.7,RSEArray.8,RSEArray.9,RSEArray.10,LOTRArray.1,LOTRArray.2,LOTRArray.3,LOTRArray.4,LOTRArray.5,LOTRArray.6,LOTRArray.7,LOTRArray.8,LOTRArray.9,LOTRArray.10,PHQArray.1,PHQArray.2,socComp,RSE,LOTR,SINS,PHQ,gender,age,nativeLanguage,browser,browserOS
11,1,0,1,2,3,4,5,6,7,8,9,10,36,44,12,35,40,43,2,33,46,45,30,10,20,30,0,10,0,45,55,10,50,50,45,50,40,50,30,60,70,50,90,75,70,90,95,75,60,90,85,75,0.39,0.58,0.4,0.41,0.27,0.55,0.42,0.5,0.26,0.6,0.25,0.24,0.34,0.24,0.38,0.28,0.31,0.3,0.53,0.24,0.36,0.18,0.26,0.35,0.35,0.17,0.27,0.2,0.21,0.16,90,50,70,50,0,10,30,90,55,75,0.36,0.24,0.26,0.24,0.27,0.55,0.31,0.2,0.26,0.16,0.459,0.06,0.934,0.449,0.06,0.446,0.548,0.872,0.278,0.22,10840,8896,8097,9507,10270,10358,11775,6761,12282,5679,9,7,9,5,1,2,6,9,7,9,1,1,1,2,7,5,1,1,3,1,1,1,1,1,5,3,1,1,1,1,9,6,9,5,5,2,4,9,5,9,1,1,1,1,6,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,1,1,4,1,4,1,1,1,1,1,9,5,1,1,5,1,9,1,3,7,7,2,1,8,1,9,3,3,0,2,0,2,1,2,2,2,6,6,4,6,6,6,3,6,2,6,0,1,82,20,33,2,1,M,22,English,Chrome,Windows
12,1,1,1,2,3,4,5,6,7,8,9,10,17,45,36,3,1,29,34,49,16,26,25,10,30,0,0,40,30,50,25,15,60,50,50,30,30,65,50,75,60,50,100,75,90,60,60,100,90,90,100,75,0.42,0.6,0.39,0.41,0.38,0.38,0.43,0.3,0.45,0.24,0.38,0.24,0.25,0.37,0.36,0.34,0.23,0.52,0.37,0.4,0.2,0.16,0.36,0.22,0.26,0.28,0.34,0.18,0.18,0.36,60,75,90,60,0,65,30,50,25,50,0.38,0.16,0.36,0.22,0.38,0.34,0.43,0.3,0.45,0.4,0.695,0.294,0.18,0.176,0.911,0.117,0.901,0.408,0.096,0.545,13892,11295,10148,27887,9419,11730,9515,10657,8981,11180,6,7,7,7,1,5,6,6,5,6,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,2,4,5,3,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1,6,6,6,6,6,2,1,1,1,8,2,2,2,3,2,6,2,5,7,3,5,3,7,2,6,2,2,1,2,2,1,1,2,2,2,2,2,5,2,4,5,6,3,3,3,3,3,62,14,17,5,6,M,29,English,Chrome,Windows
13,1,0,1,2,3,4,5,6,7,8,9,10,27,29,44,50,8,13,17,31,30,22,15,40,10,50,15,30,25,45,40,20,50,65,50,75,70,50,60,60,65,60,75,100,75,90,80,95,100,90,100,90,0.25,0.38,0.58,0.32,0.49,0.31,0.42,0.54,0.37,0.32,0.38,0.34,0.24,0.5,0.27,0.25,0.38,0.3,0.32,0.16,0.37,0.28,0.18,0.18,0.24,0.44,0.2,0.16,0.31,0.52,75,65,50,75,70,30,60,45,100,20,0.37,0.34,0.24,0.5,0.27,0.31,0.38,0.54,0.31,0.32,0.667,0.268,0.861,0.66,0.269,0.819,0.182,0.371,0.087,0.2,16823,11939,11055,9942,9931,12823,13623,13253,9751,12793,8,6,6,8,7,2,6,3,9,2,1,4,3,1,1,5,3,5,1,6,1,2,2,1,1,6,2,5,1,5,7,4,6,4,7,6,5,2,8,5,1,1,1,1,1,4,2,4,1,4,1,1,1,1,1,2,2,2,1,2,7,5,5,8,8,3,6,4,9,3,1,5,4,1,2,8,5,7,1,8,7,3,2,6,2,5,6,7,6,4,2,2,0,3,1,2,2,1,1,1,2,5,4,2,4,6,5,5,6,2,1,1,54,22,15,5,2,M,28,English,Chrome,Windows
14,1,1,1,2,3,4,5,6,7,8,9,10,34,37,14,38,47,25,2,39,42,49,30,20,30,20,55,15,0,20,0,50,50,50,50,50,70,50,30,50,40,75,90,90,95,90,85,75,60,90,95,90,0.43,0.28,0.33,0.3,0.28,0.21,0.42,0.32,0.26,0.3,0.23,0.19,0.29,0.18,0.51,0.36,0.31,0.18,0.42,0.52,0.34,0.53,0.38,0.52,0.21,0.43,0.27,0.5,0.32,0.18,30,20,50,50,70,15,30,90,95,50,0.43,0.28,0.29,0.18,0.51,0.21,0.31,0.5,0.32,0.3,0.284,0.51,0.047,0.794,0.674,0.662,0.204,0.023,0.572,0.899,20124,13490,11589,15339,11687,15089,13696,14054,14589,14195,6,6,7,7,7,4,7,8,8,6,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,3,3,3,2,5,4,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,5,4,3,4,5,5,5,3,3,2,3,2,5,2,1,2,2,6,3,3,6,4,5,5,7,2,5,2,2,1,2,1,2,2,2,1,1,5,4,3,4,4,4,3,4,3,4,1,1,60,19,28,2,2,F,34,english,Chrome,Windows
15,1,1,1,2,3,4,5,6,7,8,9,10,40,34,29,18,43,16,20,2,14,27,0,30,40,25,10,25,25,0,30,15,40,50,65,60,50,60,45,30,50,50,95,90,100,100,75,100,80,60,95,75,0.27,0.43,0.38,0.43,0.55,0.45,0.26,0.42,0.33,0.25,0.38,0.23,0.34,0.35,0.28,0.37,0.32,0.31,0.29,0.38,0.35,0.34,0.28,0.22,0.17,0.18,0.42,0.27,0.38,0.37,0,30,65,100,10,25,45,30,50,75,0.27,0.43,0.34,0.22,0.55,0.45,0.32,0.31,0.29,0.37,0.244,0.757,0.583,0.049,0.22,0.117,0.31,0.558,0.409,0.011,27427,15747,15681,12571,13044,13544,13044,21886,14438,16596,2,3,5,9,2,3,5,5,3,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,7,9,3,3,5,5,3,9,8,5,2,1,6,5,3,2,6,1,6,3,3,7,9,4,4,7,5,5,3,3,0,3,0,3,3,0,0,0,6,5,7,5,6,5,7,4,7,5,0,0,65,30,19,7,0,F,41,english,Firefox,Windows
16,1,1,1,2,3,4,5,6,7,8,9,10,50,45,42,29,36,39,6,2,41,28,50,10,0,40,30,20,10,0,0,40,75,50,40,65,50,50,35,30,40,65,90,75,95,100,90,90,75,60,95,100,0.32,0.6,0.26,0.38,0.39,0.32,0.5,0.42,0.27,0.36,0.5,0.24,0.42,0.34,0.25,0.18,0.32,0.31,0.4,0.4,0.18,0.16,0.32,0.28,0.36,0.5,0.18,0.27,0.33,0.24,75,75,95,65,90,90,75,30,40,40,0.5,0.16,0.32,0.34,0.36,0.5,0.18,0.31,0.4,0.36,0.284,0.072,0.076,0.911,0.417,0.269,0.172,0.798,0.809,0.418,18759,21466,14833,21794,16092,16193,15748,16445,18789,13881,9,9,9,5,7,6,6,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,9,1,2,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,9,2,4,3,2,2,1,1,1,1,1,4,2,1,1,3,3,3,7,2,2,9,7,2,3,7,7,8,2,2,1,2,2,2,1,1,2,1,4,3,2,3,4,5,3,6,4,5,1,0,72,17,27,2,1,M,23,English,Chrome,Windows
17,1,0,1,2,3,4,5,6,7,8,9,10,25,10,38,14,43,30,26,11,47,34,15,20,20,30,10,40,15,20,55,30,50,45,50,50,50,65,50,45,70,50,75,70,90,95,75,100,75,70,85,90,0.21,0.43,0.3,0.33,0.55,0.37,0.24,0.41,0.28,0.43,0.36,0.39,0.18,0.29,0.28,0.32,0.4,0.35,0.51,0.23,0.43,0.18,0.52,0.38,0.17,0.31,0.36,0.24,0.21,0.34,15,20,50,50,10,100,50,45,70,30,0.21,0.43,0.18,0.29,0.55,0.31,0.4,0.35,0.51,0.43,0.679,0.798,0.993,0.14,0.463,0.191,0.645,0.745,0.618,0.551,24500,15884,16893,14831,14310,13272,11751,14256,12269,14254,4,7,7,7,4,9,7,7,8,6,8,5,4,4,7,1,3,3,2,4,6,4,3,3,6,1,2,3,2,3,5,3,2,5,5,7,5,2,5,5,6,5,2,3,7,1,2,5,2,4,3,3,2,3,2,1,2,2,2,2,4,6,6,6,3,9,7,5,6,5,8,6,5,3,7,1,4,6,4,8,8,2,7,7,7,7,6,4,7,4,3,2,2,1,2,2,1,2,1,2,4,6,6,4,6,5,6,6,5,6,1,2,51,15,21,5,3,M,25,english,Chrome,Windows
18,1,0,1,2,3,4,5,6,7,8,9,10,13,3,49,23,47,32,38,35,17,2,30,0,50,20,55,45,20,30,25,0,50,30,75,60,70,60,50,50,60,30,95,60,90,90,85,90,90,90,100,60,0.31,0.41,0.3,0.34,0.28,0.52,0.3,0.41,0.42,0.42,0.25,0.37,0.52,0.22,0.51,0.29,0.18,0.24,0.38,0.31,0.44,0.22,0.18,0.44,0.21,0.19,0.52,0.35,0.2,0.27,30,60,50,60,70,60,50,50,60,30,0.31,0.22,0.3,0.22,0.51,0.29,0.18,0.24,0.38,0.31,0.051,0.045,0.806,0.505,0.247,0.302,0.596,0.924,0.793,0.596,23259,13797,15939,15115,10103,13877,15652,10909,12786,11589,4,9,6,7,9,7,6,7,8,8,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,8,5,4,7,5,5,6,6,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8,4,7,9,7,7,7,8,8,8,1,5,1,1,2,2,2,2,2,7,2,3,5,6,3,3,5,3,8,2,2,1,2,0,2,2,1,1,1,4,3,3,4,6,5,2,3,2,4,0,0,67,21,29,1,0,F,39,English,Safari,an unknown OS
19,1,0,1,2,3,4,5,6,7,8,9,10,5,14,22,33,42,48,8,37,31,3,10,30,20,45,0,55,15,20,45,0,35,50,60,60,40,70,70,50,60,30,75,95,90,90,95,85,80,90,90,60,0.515,0.33,0.32,0.5,0.26,0.25,0.49,0.28,0.54,0.41,0.3,0.29,0.16,0.3,0.42,0.52,0.27,0.19,0.3,0.37,0.185,0.38,0.52,0.2,0.32,0.23,0.24,0.53,0.16,0.22,35,50,20,90,95,85,70,20,45,60,0.3,0.29,0.32,0.2,0.32,0.23,0.27,0.28,0.54,0.22,0.463,0.096,0.438,0.679,0.349,0.882,0.267,0.28,0.252,0.852,16400,17387,16657,11745,11782,11340,39546,18296,15631,11118,9,6,4,9,9,9,9,3,4,9,1,3,6,1,1,1,1,7,6,1,1,1,1,1,1,1,1,1,1,1,9,6,9,9,9,8,6,9,8,8,1,1,2,1,1,1,1,6,3,1,1,1,1,1,1,1,1,1,1,1,8,5,3,9,9,9,8,4,6,9,1,3,8,1,1,1,1,6,3,1,7,2,3,8,7,3,1,7,2,9,3,3,0,3,0,3,3,0,0,0,3,7,3,7,7,7,2,7,3,3,0,0,77,30,29,1,0,F,31,English,Chrome,Windows
20,1,1,1,2,3,4,5,6,7,8,9,10,12,8,14,5,24,23,2,43,26,48,20,15,30,10,20,20,0,10,15,55,45,70,50,35,60,60,30,50,50,70,70,80,95,75,90,90,60,75,75,85,0.4,0.49,0.33,0.515,0.33,0.34,0.42,0.55,0.24,0.25,0.34,0.27,0.29,0.3,0.2,0.22,0.31,0.28,0.4,0.52,0.26,0.24,0.38,0.185,0.47,0.44,0.27,0.17,0.36,0.23,70,70,50,35,90,60,30,10,50,85,0.26,0.27,0.29,0.3,0.47,0.22,0.31,0.55,0.4,0.23,0.912,0.351,0.615,0.017,0.101,0.082,0.398,0.273,0.991,0.373,22472,20350,19682,26860,16637,13768,16409,17453,15330,15143,9,7,5,5,9,7,7,2,7,9,1,2,2,2,1,2,2,5,2,1,1,1,1,1,1,1,1,2,1,1,7,5,2,7,7,5,7,2,4,9,1,1,2,2,1,2,1,5,2,1,1,1,1,1,1,1,1,1,1,1,8,5,3,4,8,4,6,2,3,9,1,2,7,4,1,6,2,8,6,1,6,3,3,7,6,4,5,8,2,7,3,3,0,3,0,3,3,0,0,0,6,6,2,7,6,5,1,4,3,7,0,0,67,30,38,2,0,M,50,English,Chrome,Windows
21,1,1,1,2,3,4,5,6,7,8,9,10,34,50,1,6,9,10,38,7,47,25,30,50,0,10,15,20,20,15,55,15,50,75,30,35,70,45,50,70,70,50,90,90,60,75,80,70,90,80,85,75,0.43,0.32,0.38,0.5,0.45,0.43,0.3,0.47,0.28,0.21,0.23,0.5,0.36,0.32,0.29,0.39,0.18,0.28,0.51,0.36,0.34,0.18,0.26,0.18,0.26,0.18,0.52,0.25,0.21,0.43,30,75,0,75,80,20,50,15,70,15,0.43,0.5,0.38,0.18,0.26,0.43,0.18,0.47,0.51,0.21,0.6,0.426,0.273,0.244,0.546,0.034,0.122,0.101,0.114,0.172,15026,24818,14350,20965,21932,17040,11706,15811,20639,17450,9,9,1,9,9,9,9,9,9,9,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,5,2,6,7,3,8,3,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,9,9,9,9,8,9,6,1,1,4,1,1,1,1,1,1,1,7,3,3,6,7,8,4,6,3,7,2,2,1,2,1,2,2,1,1,1,5,6,2,5,6,6,2,5,2,5,1,1,62,20,33,2,2,F,20,English,Chrome,Windows
22,1,0,1,2,3,4,5,6,7,8,9,10,24,21,39,17,4,8,22,20,27,33,20,25,20,25,10,15,20,25,15,45,60,45,50,60,35,70,60,45,50,60,90,80,90,100,75,80,90,80,75,90,0.33,0.3,0.32,0.42,0.5,0.49,0.32,0.26,0.25,0.5,0.2,0.3,0.18,0.38,0.31,0.27,0.16,0.32,0.38,0.3,0.47,0.4,0.5,0.2,0.19,0.24,0.52,0.42,0.37,0.2,90,80,90,60,10,70,20,45,75,90,0.47,0.4,0.5,0.38,0.5,0.27,0.32,0.32,0.37,0.2,0.992,0.513,0.192,0.868,0.233,0.189,0.195,0.61,0.919,0.694,35574,21700,14456,18360,20258,15097,19204,12012,13992,12107,9,7,9,6,3,6,1,3,9,9,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,6,6,5,4,1,5,1,2,4,8,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,6,2,6,1,5,9,9,1,1,1,1,1,1,3,1,1,1,7,2,1,7,9,4,1,7,5,9,3,3,1,3,1,3,2,2,2,2,3,3,4,6,6,6,6,6,6,6,1,1,76,21,23,5,2,M,21,English,Chrome,Windows
23,1,1,1,2,3,4,5,6,7,8,9,10,50,38,41,36,42,4,46,37,17,28,50,20,0,30,0,10,55,20,25,40,75,50,40,50,40,35,70,50,60,65,90,90,95,90,95,75,85,90,100,100,0.32,0.3,0.27,0.39,0.26,0.5,0.26,0.28,0.42,0.36,0.5,0.18,0.4,0.25,0.42,0.31,0.53,0.19,0.38,0.4,0.18,0.52,0.33,0.36,0.32,0.19,0.21,0.53,0.2,0.24,75,50,40,90,95,10,55,20,60,40,0.5,0.18,0.4,0.36,0.32,0.5,0.26,0.28,0.38,0.36,0.005,0.277,0.15,0.614,0.512,0.673,0.861,0.77,0.905,0.831,11586,9023,9031,7851,9234,9740,11835,8193,9419,9484,8,7,7,9,9,5,6,4,6,4,2,2,3,1,1,8,5,7,3,6,2,2,2,1,1,8,5,7,3,6,3,2,2,1,5,7,4,6,2,5,1,2,2,1,1,8,5,7,2,6,1,1,1,1,1,1,1,1,1,1,8,7,7,9,9,2,6,3,7,3,2,4,5,1,1,8,7,8,4,8,7,3,3,8,8,8,7,8,1,7,2,3,0,2,0,2,2,1,0,0,5,6,2,5,5,6,2,2,2,5,0,0,66,25,33,5,0,M,24,English,Firefox,Windows
24,1,0,1,2,3,4,5,6,7,8,9,10,10,9,17,33,37,38,6,13,21,41,20,15,25,45,20,20,10,30,25,0,45,70,60,60,50,50,35,50,45,40,70,80,100,90,90,90,75,95,80,95,0.43,0.45,0.42,0.5,0.28,0.3,0.5,0.31,0.3,0.27,0.39,0.29,0.38,0.3,0.19,0.18,0.32,0.25,0.3,0.4,0.18,0.26,0.2,0.2,0.53,0.52,0.18,0.44,0.4,0.33,20,80,60,90,20,50,75,30,80,40,0.43,0.26,0.38,0.2,0.28,0.18,0.18,0.31,0.4,0.4,0.204,0.188,0.105,0.051,0.948,0.966,0.25,0.765,0.093,0.006,36549,14529,15893,13553,18810,14760,11357,18460,13882,18985,6,9,7,9,6,7,9,7,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,5,7,4,6,8,4,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,8,3,1,8,7,8,3,9,1,7,3,3,0,3,0,2,1,0,0,0,6,7,2,5,7,6,2,7,3,7,0,0,73,27,35,2,0,M,27,English,Chrome,Windows
25,1,1,1,2,3,4,5,6,7,8,9,10,25,22,6,49,17,35,8,30,7,45,15,20,10,50,25,30,15,40,15,10,50,60,35,75,60,50,70,65,70,50,75,90,75,90,100,90,80,100,80,75,0.21,0.32,0.5,0.3,0.42,0.41,0.49,0.37,0.47,0.6,0.36,0.16,0.32,0.52,0.38,0.24,0.27,0.32,0.28,0.24,0.43,0.52,0.18,0.18,0.2,0.35,0.24,0.31,0.25,0.16,15,20,75,50,60,50,70,100,15,75,0.21,0.32,0.18,0.3,0.38,0.24,0.27,0.31,0.47,0.16,0.753,0.904,0.509,0.149,0.858,0.613,0.9,0.549,0.458,0.328,15580,14405,11891,17849,16324,80340,11687,9237,12218,11597,2,3,9,4,5,5,7,9,1,9,8,6,1,6,5,4,1,1,9,1,6,6,1,4,2,1,1,1,7,1,4,4,9,7,7,6,7,9,7,9,7,8,1,6,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,2,1,9,3,5,5,7,9,1,9,9,9,1,7,5,5,2,1,9,1,7,2,1,7,8,4,2,8,2,7,3,3,0,2,0,2,2,0,0,0,4,7,5,5,6,6,4,6,4,3,0,0,76,27,23,2,0,M,28,English,Chrome,Windows
26,1,0,1,2,3,4,5,6,7,8,9,10,23,17,25,9,19,36,38,26,37,46,20,25,15,15,25,30,20,15,20,55,60,60,50,70,45,50,50,50,50,70,90,100,75,80,80,90,90,75,90,85,0.34,0.42,0.21,0.45,0.31,0.39,0.3,0.24,0.28,0.26,0.22,0.38,0.36,0.29,0.32,0.25,0.18,0.4,0.19,0.53,0.44,0.2,0.43,0.26,0.37,0.36,0.52,0.36,0.53,0.21,60,60,15,80,25,90,50,50,20,55,0.22,0.38,0.21,0.26,0.31,0.36,0.18,0.4,0.28,0.26,0.25,0.398,0.175,0.224,0.984,0.238,0.743,0.025,0.537,0.564,16320,17407,11928,19310,13646,10724,212033,16400,10193,19009,7,6,1,9,1,9,5,7,1,1,1,1,7,1,9,1,5,1,9,7,1,1,5,1,7,1,5,1,9,2,5,6,7,9,7,5,9,1,9,8,1,1,7,1,7,1,1,1,9,5,1,1,1,1,1,1,1,1,1,1,5,6,1,9,1,9,6,6,1,3,2,2,9,1,9,1,5,3,9,8,5,3,3,5,5,5,3,7,2,9,3,3,0,3,0,3,3,0,0,0,4,5,4,5,7,4,4,4,4,4,0,0,65,30,25,2,0,F,36,English,Chrome,Windows
27,1,1,1,2,3,4,5,6,7,8,9,10,33,26,1,38,27,29,37,40,17,9,45,15,0,20,15,40,20,0,25,15,60,50,30,50,50,65,50,40,60,70,90,75,60,90,75,100,90,95,100,80,0.5,0.24,0.38,0.3,0.25,0.38,0.28,0.27,0.42,0.45,0.3,0.4,0.36,0.18,0.38,0.34,0.19,0.38,0.38,0.29,0.2,0.36,0.26,0.52,0.37,0.28,0.53,0.35,0.2,0.26,90,50,0,50,75,65,20,0,60,80,0.2,0.4,0.38,0.18,0.37,0.34,0.28,0.27,0.38,0.26,0.888,0.932,0.487,0.47,0.105,0.302,0.426,0.081,0.436,0.125,26490,15914,23509,15259,14548,15639,17057,15843,27099,15688,8,8,2,7,7,6,3,1,6,8,1,1,5,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,4,1,3,4,2,4,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,5,6,5,3,2,6,7,1,1,5,1,1,1,1,4,2,1,8,4,3,6,7,3,6,6,3,7,3,3,0,3,0,2,2,2,0,0,5,4,2,5,3,4,4,5,4,5,0,1,65,26,29,2,1,M,37,english,Firefox,Windows
28,1,1,1,2,3,4,5,6,7,8,9,10,40,8,7,13,32,29,6,28,23,2,0,15,15,30,45,40,10,40,20,0,40,70,70,50,60,65,35,65,60,30,95,80,80,95,90,100,75,100,90,60,0.27,0.49,0.47,0.31,0.52,0.38,0.5,0.36,0.34,0.42,0.38,0.27,0.28,0.25,0.29,0.34,0.32,0.4,0.22,0.31,0.35,0.24,0.25,0.44,0.19,0.28,0.18,0.24,0.44,0.27,0,70,15,30,60,65,75,40,60,30,0.27,0.27,0.47,0.31,0.29,0.34,0.18,0.36,0.22,0.31,0.724,0.55,0.108,0.448,0.669,0.516,0.875,0.324,0.274,0.412,28297,17186,24858,32097,15852,28707,13776,20465,21313,23052,1,9,7,7,9,9,9,7,9,8,4,1,1,1,1,1,1,1,1,8,2,1,1,1,1,1,1,1,1,1,1,9,5,5,8,1,9,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,7,7,9,9,9,7,9,8,8,1,4,1,2,1,1,4,2,3,7,5,3,7,6,3,3,7,2,8,3,2,1,2,1,2,2,1,1,1,3,5,2,4,5,4,2,3,2,3,0,0,69,21,28,2,0,F,42,English,Firefox,Mac
29,1,0,1,2,3,4,5,6,7,8,9,10,24,40,13,20,8,30,34,39,36,25,20,0,30,25,15,40,30,20,30,15,60,40,50,45,70,65,50,50,50,50,90,95,95,80,80,100,90,90,90,75,0.33,0.27,0.31,0.26,0.49,0.37,0.43,0.32,0.39,0.21,0.2,0.38,0.25,0.32,0.27,0.32,0.23,0.18,0.25,0.36,0.47,0.35,0.44,0.42,0.24,0.31,0.34,0.5,0.36,0.43,90,0,30,45,70,100,30,90,90,15,0.47,0.27,0.31,0.32,0.27,0.31,0.43,0.5,0.36,0.21,0.946,0.074,0.317,0.005,0.499,0.858,0.169,0.129,0.664,0.626,15381,12007,18530,15397,14166,10688,13470,10311,10724,11702,9,1,1,5,7,9,1,9,9,1,1,9,5,1,1,1,5,1,1,7,1,1,1,1,1,1,1,1,1,1,3,5,3,1,1,5,3,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,7,1,3,5,1,1,1,9,7,5,1,1,7,1,1,9,1,1,8,9,5,7,5,9,1,2,3,3,0,3,0,3,3,0,0,0,1,7,1,4,4,6,2,7,6,2,0,0,54,30,22,1,0,M,35,English,Chrome,Windows
30,1,0,1,2,3,4,5,6,7,8,9,10,10,43,16,41,29,30,3,39,44,2,20,10,25,0,40,40,0,20,10,0,45,50,60,40,65,65,30,50,50,30,70,75,100,95,100,100,60,90,75,60,0.43,0.55,0.45,0.27,0.38,0.37,0.41,0.32,0.58,0.42,0.39,0.28,0.37,0.4,0.34,0.32,0.37,0.18,0.24,0.31,0.18,0.17,0.18,0.33,0.28,0.31,0.22,0.5,0.18,0.27,20,10,25,40,65,100,60,90,50,30,0.43,0.55,0.45,0.4,0.34,0.31,0.22,0.5,0.24,0.31,0.435,0.707,0.959,0.452,0.311,0.464,0.964,0.037,0.296,0.861,39400,25280,24185,28243,39815,28597,23241,21822,24040,29662,2,1,1,4,3,9,7,9,5,6,4,3,3,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,3,2,2,8,9,9,3,4,4,4,5,1,1,1,2,1,1,3,1,1,1,1,1,2,3,5,2,2,2,1,1,4,5,8,9,9,6,5,5,5,6,3,1,1,1,1,2,3,7,4,5,7,8,3,3,8,2,9,3,3,0,3,0,3,2,1,0,0,5,3,3,5,4,6,3,4,2,5,0,0,72,28,31,1,0,M,39,English,Firefox,Mac
